,Age,MonthlyIncome,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Human Resources,Life Sciences,Marketing,Medical,Other,Technical Degree,AgeMinMax,AgeStand
290,49,18665.0,0,Travel_Frequently,636,Research & Development,10,4,Life Sciences,3,Female,35,3,5,Research Director,1,Single,25594.0,9,Yes,11.0,3.0,4,0,22,4,3,3,2,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.7380952380952379,1.324247476719826
291,36,4485.0,0,Travel_Rarely,506,Research & Development,3,3,Technical Degree,3,Male,30,3,2,Research Scientist,2,Single,26285.0,4,No,12.0,3.0,4,0,10,2,3,8,0,7,7,0.0,0.0,0.0,0.0,0.0,1.0,0.42857142857142855,-0.10280470424147588
292,31,2789.0,0,Travel_Frequently,444,Sales,5,3,Marketing,4,Female,84,3,1,Sales Representative,2,Divorced,3909.0,1,No,11.0,3.0,3,1,2,5,2,2,2,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.3095238095238095,-0.6516709276881304
293,26,5828.0,1,Travel_Rarely,950,Sales,4,4,Marketing,4,Male,48,2,2,Sales Executive,4,Single,8450.0,1,Yes,12.0,3.0,2,0,8,0,3,8,7,7,4,0.0,0.0,1.0,0.0,0.0,0.0,0.19047619047619052,-1.2005371511347849
294,37,2326.0,0,Travel_Frequently,889,Research & Development,9,3,Medical,2,Male,53,3,1,Research Scientist,4,Married,11411.0,1,Yes,12.0,3.0,3,3,4,3,2,4,2,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.4523809523809524,0.0069685404478550305
295,42,13525.0,0,Travel_Frequently,555,Sales,26,3,Marketing,3,Female,77,3,4,Sales Executive,2,Married,14864.0,5,No,14.0,3.0,4,1,23,2,4,20,4,4,8,0.0,0.0,1.0,0.0,0.0,0.0,0.5714285714285714,0.5558347638945096
296,18,1420.0,1,Travel_Rarely,230,Research & Development,3,3,Life Sciences,3,Male,54,3,1,Laboratory Technician,3,Single,25233.0,1,No,13.0,3.0,3,0,0,2,3,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.078723108649432
297,35,8020.0,0,Travel_Rarely,1232,Sales,16,3,Marketing,3,Male,96,3,3,Sales Executive,2,Married,5100.0,0,No,15.0,3.0,3,2,12,3,2,11,9,6,9,0.0,0.0,1.0,0.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
298,36,3688.0,0,Travel_Frequently,566,Research & Development,18,4,Life Sciences,3,Male,81,4,1,Laboratory Technician,4,Married,7122.0,4,No,18.0,3.0,4,2,4,2,3,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,-0.10280470424147588
299,51,5482.0,0,Travel_Rarely,1302,Research & Development,2,3,Medical,4,Male,84,1,2,Manufacturing Director,2,Divorced,16321.0,5,No,18.0,3.0,4,1,13,3,3,4,1,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.7857142857142856,1.5437939660984878
300,41,16015.0,0,Travel_Rarely,334,Sales,2,4,Life Sciences,4,Male,88,3,4,Manager,2,Single,15896.0,1,No,19.0,3.0,2,0,22,2,3,22,10,0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.5476190476190477,0.44606151920517867
301,18,1200.0,0,Travel_Rarely,812,Sales,10,3,Medical,4,Female,69,2,1,Sales Representative,3,Single,9724.0,1,No,12.0,3.0,1,0,0,2,3,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.078723108649432
302,28,5661.0,0,Travel_Rarely,1476,Research & Development,16,2,Medical,2,Male,68,4,2,Healthcare Representative,1,Single,4824.0,0,No,19.0,3.0,3,0,9,2,3,8,3,0,7,0.0,0.0,0.0,1.0,0.0,0.0,0.23809523809523808,-0.9809906617561232
303,31,6929.0,0,Travel_Rarely,218,Sales,7,3,Technical Degree,2,Male,100,4,2,Sales Executive,4,Married,12241.0,4,No,11.0,3.0,2,1,10,3,2,8,7,7,7,0.0,0.0,0.0,0.0,0.0,1.0,0.3095238095238095,-0.6516709276881304
304,39,9613.0,0,Travel_Rarely,1132,Research & Development,1,3,Medical,3,Male,48,4,3,Healthcare Representative,4,Divorced,10942.0,0,No,17.0,3.0,1,3,19,5,2,18,10,3,7,0.0,0.0,0.0,1.0,0.0,0.0,0.49999999999999994,0.22651502982651683
305,36,5674.0,0,Non-Travel,1105,Research & Development,24,4,Life Sciences,2,Female,47,3,2,Laboratory Technician,2,Married,6927.0,7,No,15.0,3.0,3,1,11,3,3,9,8,0,8,0.0,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,-0.10280470424147588
306,32,5484.0,0,Travel_Rarely,906,Sales,7,3,Life Sciences,4,Male,91,2,2,Sales Executive,3,Married,16985.0,1,No,14.0,3.0,3,1,13,3,2,13,8,4,8,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.5418976829987995
307,38,12061.0,0,Travel_Rarely,849,Research & Development,25,2,Life Sciences,1,Female,81,2,3,Research Director,2,Married,26707.0,3,No,17.0,3.0,3,1,19,2,3,10,8,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.4761904761904761,0.11674178513718594
308,58,5660.0,0,Non-Travel,390,Research & Development,1,4,Life Sciences,4,Male,32,1,2,Healthcare Representative,3,Divorced,17056.0,2,Yes,13.0,3.0,4,1,12,2,3,5,3,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.9523809523809523,2.312206678923804
309,31,4821.0,0,Travel_Rarely,691,Research & Development,5,4,Technical Degree,3,Male,86,3,1,Research Scientist,4,Married,10077.0,0,Yes,12.0,3.0,3,1,6,4,3,5,2,0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.3095238095238095,-0.6516709276881304
310,31,6410.0,0,Travel_Rarely,106,Human Resources,2,3,Human Resources,1,Male,62,2,2,Human Resources,1,Married,17822.0,3,No,12.0,3.0,4,0,9,1,3,2,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.3095238095238095,-0.6516709276881304
311,45,5210.0,0,Travel_Frequently,1249,Research & Development,7,3,Life Sciences,1,Male,97,3,3,Laboratory Technician,1,Divorced,20308.0,1,No,18.0,3.0,1,1,24,2,3,24,9,9,11,0.0,1.0,0.0,0.0,0.0,0.0,0.6428571428571428,0.8851544979625023
312,31,2695.0,0,Travel_Rarely,192,Research & Development,2,4,Life Sciences,3,Male,32,3,1,Research Scientist,4,Divorced,7747.0,0,Yes,18.0,3.0,2,1,3,2,1,2,2,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.3095238095238095,-0.6516709276881304
313,33,11878.0,0,Travel_Frequently,553,Research & Development,5,4,Life Sciences,4,Female,74,3,3,Manager,2,Married,23364.0,6,No,11.0,3.0,2,2,12,2,3,10,6,8,8,0.0,1.0,0.0,0.0,0.0,0.0,0.35714285714285715,-0.4321244383094686
314,39,17068.0,0,Travel_Rarely,117,Research & Development,10,1,Medical,3,Male,99,3,4,Manager,1,Married,5355.0,1,Yes,14.0,3.0,4,0,21,3,3,21,9,11,10,0.0,0.0,0.0,1.0,0.0,0.0,0.49999999999999994,0.22651502982651683
315,43,2455.0,0,Travel_Frequently,185,Research & Development,10,4,Life Sciences,3,Female,33,3,1,Laboratory Technician,4,Single,10675.0,0,No,19.0,3.0,1,0,9,5,3,8,7,1,7,0.0,1.0,0.0,0.0,0.0,0.0,0.5952380952380951,0.6656080085838405
316,49,13964.0,0,Travel_Rarely,1091,Research & Development,1,2,Technical Degree,3,Female,90,2,4,Healthcare Representative,3,Single,17810.0,7,Yes,12.0,3.0,4,0,25,2,3,7,1,0,7,0.0,0.0,0.0,0.0,0.0,1.0,0.7380952380952379,1.324247476719826
317,52,4941.0,1,Travel_Rarely,723,Research & Development,8,4,Medical,3,Male,85,2,2,Research Scientist,2,Married,17747.0,2,No,15.0,3.0,1,0,11,3,2,8,2,7,7,0.0,0.0,0.0,1.0,0.0,0.0,0.8095238095238095,1.6535672107878185
318,27,2478.0,0,Travel_Rarely,1220,Research & Development,5,3,Life Sciences,3,Female,85,3,1,Research Scientist,2,Single,20938.0,1,Yes,12.0,3.0,2,0,4,2,2,4,3,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.21428571428571425,-1.090763906445454
319,32,5228.0,0,Travel_Rarely,588,Sales,8,2,Technical Degree,3,Female,65,2,2,Sales Executive,2,Married,24624.0,1,Yes,11.0,3.0,4,0,13,2,3,13,12,11,9,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,-0.5418976829987995
320,27,4478.0,0,Travel_Rarely,1377,Sales,2,3,Life Sciences,4,Male,74,3,2,Sales Executive,3,Single,5242.0,1,Yes,11.0,3.0,1,0,5,3,3,5,4,0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.21428571428571425,-1.090763906445454
321,31,7547.0,0,Travel_Rarely,691,Sales,7,3,Marketing,4,Male,73,3,2,Sales Executive,4,Divorced,7143.0,4,No,12.0,3.0,4,3,13,3,3,7,7,1,7,0.0,0.0,1.0,0.0,0.0,0.0,0.3095238095238095,-0.6516709276881304
322,32,5055.0,0,Travel_Rarely,1018,Research & Development,2,4,Medical,1,Female,74,4,2,Research Scientist,4,Single,10557.0,7,No,16.0,3.0,3,0,10,0,2,7,7,0,7,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,-0.5418976829987995
323,28,3464.0,1,Travel_Rarely,1157,Research & Development,2,4,Medical,1,Male,84,1,1,Research Scientist,4,Married,24737.0,5,Yes,13.0,3.0,4,0,5,4,2,3,2,2,2,0.0,0.0,0.0,1.0,0.0,0.0,0.23809523809523808,-0.9809906617561232
324,30,5775.0,0,Travel_Rarely,1275,Research & Development,28,2,Medical,4,Female,64,3,2,Research Scientist,4,Married,11934.0,1,No,13.0,3.0,4,2,11,2,3,10,8,1,9,0.0,0.0,0.0,1.0,0.0,0.0,0.28571428571428564,-0.7614441723774613
325,31,8943.0,0,Travel_Frequently,798,Research & Development,7,2,Life Sciences,3,Female,48,2,3,Manufacturing Director,3,Married,14034.0,1,No,24.0,4.0,1,1,10,2,3,10,9,8,9,0.0,1.0,0.0,0.0,0.0,0.0,0.3095238095238095,-0.6516709276881304
326,39,19272.0,0,Travel_Frequently,672,Research & Development,7,2,Medical,3,Male,54,2,5,Manager,4,Married,21141.0,1,No,15.0,3.0,1,1,21,2,3,21,9,13,3,0.0,0.0,0.0,1.0,0.0,0.0,0.49999999999999994,0.22651502982651683
327,39,5238.0,1,Travel_Rarely,1162,Sales,3,2,Medical,4,Female,41,3,2,Sales Executive,3,Married,17778.0,4,Yes,18.0,3.0,1,0,12,3,2,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.49999999999999994,0.22651502982651683
328,33,4682.0,0,Travel_Frequently,508,Sales,10,3,Marketing,2,Male,46,2,2,Sales Executive,4,Single,4317.0,3,No,14.0,3.0,3,0,9,6,2,7,7,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.35714285714285715,-0.4321244383094686
329,47,18300.0,0,Travel_Rarely,1482,Research & Development,5,5,Life Sciences,4,Male,42,3,5,Research Director,3,Married,16375.0,4,No,11.0,3.0,2,1,21,2,3,3,2,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.6904761904761905,1.1047009873411642
330,43,5257.0,0,Travel_Frequently,559,Research & Development,10,4,Life Sciences,3,Female,82,2,2,Laboratory Technician,3,Divorced,6227.0,1,No,11.0,3.0,2,1,9,3,4,9,7,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.5952380952380951,0.6656080085838405
331,27,6349.0,0,Non-Travel,210,Sales,1,1,Marketing,3,Male,73,3,2,Sales Executive,2,Married,22107.0,0,Yes,13.0,3.0,4,1,6,0,3,5,4,1,4,0.0,0.0,1.0,0.0,0.0,0.0,0.21428571428571425,-1.090763906445454
332,54,4869.0,0,Travel_Frequently,928,Research & Development,20,4,Life Sciences,4,Female,31,3,2,Research Scientist,3,Single,16885.0,3,No,12.0,3.0,4,0,20,4,2,4,3,0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.857142857142857,1.8731137001664804
333,43,9985.0,0,Travel_Rarely,1001,Research & Development,7,3,Life Sciences,3,Female,43,3,3,Healthcare Representative,1,Married,9262.0,8,No,16.0,3.0,1,1,10,1,2,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.5952380952380951,0.6656080085838405
334,45,3697.0,0,Travel_Rarely,549,Research & Development,8,4,Other,4,Male,75,3,2,Research Scientist,4,Married,9278.0,9,No,14.0,3.0,1,2,12,3,3,10,9,9,8,0.0,0.0,0.0,0.0,1.0,0.0,0.6428571428571428,0.8851544979625023
335,40,7457.0,0,Travel_Rarely,1124,Sales,1,2,Medical,2,Male,57,1,2,Sales Executive,4,Married,13273.0,2,Yes,22.0,4.0,3,3,6,2,2,4,3,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.5238095238095237,0.33628827451584775
336,29,2119.0,1,Travel_Rarely,318,Research & Development,8,4,Other,2,Male,77,1,1,Laboratory Technician,1,Married,4759.0,1,Yes,11.0,3.0,4,0,7,4,2,7,7,0,7,0.0,0.0,0.0,0.0,1.0,0.0,0.2619047619047619,-0.8712174170667922
337,29,3983.0,0,Travel_Rarely,738,Research & Development,9,5,Other,2,Male,30,2,1,Laboratory Technician,4,Single,7621.0,0,No,17.0,3.0,3,0,4,2,3,3,2,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.2619047619047619,-0.8712174170667922
338,30,6118.0,0,Travel_Rarely,570,Sales,5,3,Marketing,4,Female,30,2,2,Sales Executive,3,Divorced,5431.0,1,No,13.0,3.0,3,3,10,2,3,10,9,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.28571428571428564,-0.7614441723774613
339,27,6214.0,0,Travel_Rarely,1130,Sales,8,4,Marketing,2,Female,56,3,2,Sales Executive,2,Married,3415.0,1,No,18.0,3.0,1,1,8,3,3,8,7,0,7,0.0,0.0,1.0,0.0,0.0,0.0,0.21428571428571425,-1.090763906445454
340,37,6347.0,0,Travel_Rarely,1192,Research & Development,5,2,Medical,4,Male,61,3,2,Manufacturing Director,4,Divorced,23177.0,7,No,16.0,3.0,3,2,8,2,2,6,2,0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.4523809523809524,0.0069685404478550305
341,38,11510.0,0,Travel_Rarely,343,Research & Development,15,2,Life Sciences,3,Male,92,2,3,Research Director,4,Divorced,15682.0,0,Yes,14.0,3.0,2,1,12,3,3,11,10,2,9,0.0,1.0,0.0,0.0,0.0,0.0,0.4761904761904761,0.11674178513718594
342,31,7143.0,0,Travel_Rarely,1232,Research & Development,7,4,Medical,3,Female,39,3,3,Manufacturing Director,4,Single,25713.0,1,Yes,14.0,3.0,3,0,11,2,2,11,9,4,10,0.0,0.0,0.0,1.0,0.0,0.0,0.3095238095238095,-0.6516709276881304
343,29,8268.0,0,Travel_Rarely,144,Sales,10,1,Marketing,4,Female,39,2,2,Sales Executive,2,Divorced,11866.0,1,Yes,14.0,3.0,1,2,7,2,3,7,7,1,7,0.0,0.0,1.0,0.0,0.0,0.0,0.2619047619047619,-0.8712174170667922
344,35,8095.0,0,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,3,Male,62,3,3,Manufacturing Director,2,Single,18264.0,0,No,13.0,3.0,4,0,17,5,3,16,6,0,13,0.0,0.0,0.0,0.0,0.0,1.0,0.4047619047619047,-0.21257794893080678
345,23,2904.0,0,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,3,Male,83,3,1,Research Scientist,4,Divorced,16092.0,1,No,12.0,3.0,3,2,4,2,2,4,2,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.11904761904761901,-1.5298568852027776
346,41,6032.0,0,Travel_Rarely,483,Research & Development,6,3,Medical,4,Male,95,2,2,Manufacturing Director,2,Single,10110.0,6,Yes,15.0,3.0,4,0,8,3,3,5,4,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.5476190476190477,0.44606151920517867
347,47,2976.0,0,Travel_Frequently,1309,Sales,4,1,Medical,2,Male,99,3,2,Sales Representative,3,Single,25751.0,3,No,19.0,3.0,1,0,5,3,3,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.6904761904761905,1.1047009873411642
348,42,15992.0,0,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,Female,44,3,4,Research Director,4,Single,15901.0,2,No,14.0,3.0,2,0,16,2,3,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.5558347638945096
349,29,4649.0,0,Non-Travel,746,Sales,2,3,Life Sciences,4,Male,61,3,2,Sales Executive,3,Married,16928.0,1,No,14.0,3.0,1,1,4,3,2,4,3,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.2619047619047619,-0.8712174170667922
350,42,2696.0,0,Travel_Rarely,544,Human Resources,2,1,Technical Degree,3,Male,52,3,1,Human Resources,3,Divorced,24017.0,0,Yes,11.0,3.0,3,1,4,5,3,3,2,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,0.5558347638945096
351,32,2370.0,0,Travel_Rarely,1062,Research & Development,2,3,Medical,3,Female,75,3,1,Laboratory Technician,2,Married,3956.0,1,No,13.0,3.0,3,1,8,4,3,8,0,0,7,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,-0.5418976829987995
352,48,12504.0,0,Travel_Rarely,530,Sales,29,1,Medical,1,Female,91,3,3,Manager,3,Married,23978.0,3,No,21.0,4.0,2,1,15,3,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.7142857142857142,1.214474232030495
353,37,5974.0,0,Travel_Rarely,1319,Research & Development,6,3,Medical,3,Male,51,4,2,Research Scientist,1,Divorced,17001.0,4,Yes,13.0,3.0,1,2,13,2,3,7,7,6,7,0.0,0.0,0.0,1.0,0.0,0.0,0.4523809523809524,0.0069685404478550305
354,30,4736.0,0,Non-Travel,641,Sales,25,2,Technical Degree,4,Female,85,3,2,Sales Executive,3,Married,6069.0,7,Yes,12.0,3.0,2,1,4,2,4,2,2,2,2,0.0,0.0,0.0,0.0,0.0,1.0,0.28571428571428564,-0.7614441723774613
355,26,5296.0,0,Travel_Rarely,933,Sales,1,3,Life Sciences,3,Male,57,3,2,Sales Executive,3,Married,20156.0,1,No,17.0,3.0,2,1,8,3,3,8,7,7,7,0.0,1.0,0.0,0.0,0.0,0.0,0.19047619047619052,-1.2005371511347849
356,42,6781.0,0,Travel_Rarely,1332,Research & Development,2,4,Other,1,Male,98,2,2,Healthcare Representative,4,Single,17078.0,3,No,23.0,4.0,2,0,14,6,3,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.5714285714285714,0.5558347638945096
357,21,2174.0,1,Travel_Frequently,756,Sales,1,1,Technical Degree,1,Female,99,2,1,Sales Representative,2,Single,9150.0,1,Yes,11.0,3.0,3,0,3,3,3,3,2,1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.07142857142857145,-1.7494033745814395
358,36,6653.0,0,Non-Travel,845,Sales,1,5,Medical,4,Female,45,3,2,Sales Executive,4,Single,15276.0,4,No,15.0,3.0,2,0,7,6,3,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.42857142857142855,-0.10280470424147588
359,36,9699.0,0,Travel_Frequently,541,Sales,3,4,Medical,1,Male,48,2,3,Sales Executive,4,Married,7246.0,4,No,11.0,3.0,1,1,16,2,3,13,9,1,12,0.0,0.0,0.0,1.0,0.0,0.0,0.42857142857142855,-0.10280470424147588
360,57,6755.0,0,Travel_Rarely,593,Research & Development,1,4,Medical,4,Male,88,3,2,Healthcare Representative,3,Married,2967.0,2,No,11.0,3.0,3,0,15,2,3,3,2,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.9285714285714284,2.2024334342344734
361,40,2213.0,0,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,4,Female,46,4,1,Laboratory Technician,3,Married,22495.0,3,Yes,13.0,3.0,3,1,10,3,3,7,7,1,7,0.0,1.0,0.0,0.0,0.0,0.0,0.5238095238095237,0.33628827451584775
362,21,2610.0,0,Non-Travel,895,Sales,9,2,Medical,1,Male,39,3,1,Sales Representative,4,Single,2851.0,1,No,24.0,4.0,3,0,3,3,2,3,2,2,2,0.0,0.0,0.0,1.0,0.0,0.0,0.07142857142857145,-1.7494033745814395
363,33,2851.0,1,Travel_Rarely,350,Sales,5,3,Marketing,4,Female,34,3,1,Sales Representative,3,Single,9150.0,1,Yes,13.0,3.0,2,0,1,2,3,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.35714285714285715,-0.4321244383094686
364,37,3452.0,0,Travel_Rarely,921,Research & Development,10,3,Medical,3,Female,98,3,1,Laboratory Technician,1,Married,17663.0,6,No,20.0,4.0,2,1,17,3,3,5,4,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.4523809523809524,0.0069685404478550305
365,46,5258.0,0,Non-Travel,1144,Research & Development,7,4,Medical,3,Female,30,3,2,Manufacturing Director,3,Married,16044.0,2,No,14.0,3.0,3,0,7,2,4,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666665,0.9949277426518331
366,41,9355.0,1,Travel_Frequently,143,Sales,4,3,Marketing,1,Male,56,3,2,Sales Executive,2,Single,9558.0,1,No,18.0,3.0,3,0,8,5,3,8,7,7,7,0.0,0.0,1.0,0.0,0.0,0.0,0.5476190476190477,0.44606151920517867
367,50,10496.0,0,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,4,Male,100,2,3,Healthcare Representative,4,Single,2755.0,6,No,15.0,3.0,4,0,20,2,3,4,3,1,3,0.0,0.0,0.0,0.0,0.0,1.0,0.7619047619047619,1.434020721409157
368,40,6380.0,1,Travel_Rarely,575,Sales,22,2,Marketing,3,Male,68,2,2,Sales Executive,3,Married,6110.0,2,Yes,12.0,3.0,1,2,8,6,3,6,4,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.5238095238095237,0.33628827451584775
369,31,2657.0,0,Travel_Rarely,408,Research & Development,9,4,Life Sciences,3,Male,42,2,1,Research Scientist,2,Single,7551.0,0,Yes,16.0,3.0,4,0,3,5,3,2,2,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.3095238095238095,-0.6516709276881304
370,21,2716.0,1,Travel_Rarely,156,Sales,12,3,Life Sciences,3,Female,90,4,1,Sales Representative,2,Single,25422.0,1,No,15.0,3.0,4,0,1,0,3,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.07142857142857145,-1.7494033745814395
371,29,2201.0,0,Travel_Rarely,1283,Research & Development,23,3,Life Sciences,4,Male,54,3,1,Research Scientist,4,Single,18168.0,9,No,16.0,3.0,4,0,6,4,3,3,2,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.2619047619047619,-0.8712174170667922
372,35,6540.0,0,Travel_Rarely,755,Research & Development,9,4,Life Sciences,3,Male,97,2,2,Healthcare Representative,2,Single,19394.0,9,No,19.0,3.0,3,0,10,5,3,1,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
373,27,3816.0,0,Travel_Rarely,1469,Research & Development,1,2,Medical,4,Male,82,3,1,Laboratory Technician,2,Divorced,17881.0,1,No,11.0,3.0,2,1,5,2,3,5,2,0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.21428571428571425,-1.090763906445454
374,28,5253.0,0,Travel_Rarely,304,Sales,9,4,Life Sciences,2,Male,92,3,2,Sales Executive,4,Single,20750.0,1,No,16.0,3.0,4,0,7,1,3,7,5,0,7,0.0,1.0,0.0,0.0,0.0,0.0,0.23809523809523808,-0.9809906617561232
375,49,10965.0,0,Travel_Rarely,1261,Research & Development,7,3,Other,2,Male,31,2,3,Healthcare Representative,3,Single,12066.0,8,No,24.0,4.0,3,0,26,2,3,5,2,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.7380952380952379,1.324247476719826
376,51,4936.0,0,Travel_Rarely,1178,Sales,14,2,Life Sciences,3,Female,87,3,2,Sales Executive,4,Married,14862.0,4,No,11.0,3.0,3,1,18,2,2,7,7,0,7,0.0,1.0,0.0,0.0,0.0,0.0,0.7857142857142856,1.5437939660984878
377,36,2543.0,0,Travel_Rarely,329,Research & Development,2,3,Life Sciences,4,Female,96,3,1,Research Scientist,3,Married,11868.0,4,No,13.0,3.0,2,1,6,3,3,2,2,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,-0.10280470424147588
378,34,5304.0,1,Non-Travel,1362,Sales,19,3,Marketing,1,Male,67,4,2,Sales Executive,4,Single,4652.0,8,Yes,13.0,3.0,2,0,9,3,2,5,2,0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.380952380952381,-0.3223511936201377
379,55,16659.0,0,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,3,Female,97,3,4,Manager,4,Single,23258.0,2,Yes,13.0,3.0,3,0,30,2,3,5,4,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,1.9828869448558113
380,24,4260.0,0,Travel_Rarely,1371,Sales,10,4,Marketing,4,Female,77,3,2,Sales Executive,3,Divorced,5915.0,1,Yes,12.0,3.0,4,1,5,2,4,5,2,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,-1.4200836405134467
381,30,2476.0,0,Travel_Rarely,202,Sales,2,1,Technical Degree,3,Male,72,3,1,Sales Representative,2,Married,17434.0,1,No,18.0,3.0,1,1,1,3,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.28571428571428564,-0.7614441723774613
382,26,3102.0,1,Travel_Frequently,575,Research & Development,3,1,Technical Degree,3,Male,73,3,1,Research Scientist,1,Single,6582.0,0,No,22.0,4.0,3,0,7,2,3,6,4,0,4,0.0,0.0,0.0,0.0,0.0,1.0,0.19047619047619052,-1.2005371511347849
383,22,2244.0,0,Travel_Rarely,253,Research & Development,11,3,Medical,1,Female,43,3,1,Research Scientist,2,Married,24440.0,1,No,13.0,3.0,4,1,2,1,3,2,1,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.09523809523809518,-1.6396301298921085
384,36,7596.0,0,Travel_Rarely,164,Sales,2,2,Medical,2,Male,61,2,3,Sales Executive,3,Married,3809.0,1,No,13.0,3.0,2,2,10,2,3,10,9,9,0,0.0,0.0,0.0,1.0,0.0,0.0,0.42857142857142855,-0.10280470424147588
385,30,2285.0,1,Travel_Frequently,464,Research & Development,4,3,Technical Degree,3,Male,40,3,1,Research Scientist,4,Single,3427.0,9,Yes,23.0,4.0,3,0,3,4,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.28571428571428564,-0.7614441723774613
386,37,3034.0,0,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,4,Female,95,3,1,Laboratory Technician,1,Divorced,26914.0,1,No,12.0,3.0,3,1,18,2,2,18,7,12,17,0.0,1.0,0.0,0.0,0.0,0.0,0.4523809523809524,0.0069685404478550305
387,40,5715.0,0,Travel_Rarely,759,Sales,2,2,Marketing,4,Female,46,3,2,Sales Executive,2,Divorced,22553.0,7,No,12.0,3.0,3,2,8,5,3,5,4,1,3,0.0,0.0,1.0,0.0,0.0,0.0,0.5238095238095237,0.33628827451584775
